target_asset_path,old_module_path,old_size,old_sha256,new_same_path_status,new_same_path_size,new_same_path_sha256,content_classification,legacy_group_representative_target,source_resolution,canonical_source_asset_path,source_candidate_count,source_candidates
assets/img/bg/1080/aegleseeker.jpg,img/bg/1080/aegleseeker.jpg,372932,e639103922c29b25905399f887318ef079d06c0ca95d8cf0f9cf73f84e39402d,different,424251,d79a4dbfd6c050965a0b9e5fe918efee60bc4ca5a7889e50ceffb4ac5522b2f2,exact_current_official_content,assets/img/bg/1080/aegleseeker.jpg,unique_official_source,assets/img/bg/1080/observer_conflict.jpg,1,assets/img/bg/1080/observer_conflict.jpg
assets/img/bg/1080/aegleseeker_clear.png,img/bg/1080/aegleseeker_clear.png,3057,8cbbde7dd4ca9d830f397fd03db957e16986f6671c00d03071225a930586f181,different,951080,16ac4c53c45e402d4ee9f7669c8259c9ca266e359048ef24687f861d85ec3888,fully_transparent_placeholder,assets/img/bg/1080/aegleseeker_clear.png,no_current_official_match,,0,
assets/img/bg/1080/aegleseeker_diamond.png,img/bg/1080/aegleseeker_diamond.png,70,c2153f77e11087fcb078ae38527fa83bef29791e3700e30cc87fec4405a66d0f,missing,,,fully_transparent_placeholder,assets/img/bg/1080/aegleseeker_diamond.png,no_current_official_match,,0,
assets/img/bg/1080/aegleseeker_grey.jpg,img/bg/1080/aegleseeker_grey.jpg,372932,e639103922c29b25905399f887318ef079d06c0ca95d8cf0f9cf73f84e39402d,different,205551,8f3b5b4d181ba16698767c3f0df9370a517b48e267f722f87093095c8608ce44,exact_current_official_content,assets/img/bg/1080/aegleseeker.jpg,unique_official_source,assets/img/bg/1080/observer_conflict.jpg,1,assets/img/bg/1080/observer_conflict.jpg
assets/img/bg/1080/aethercrest.jpg,img/bg/1080/aethercrest.jpg,372932,e639103922c29b25905399f887318ef079d06c0ca95d8cf0f9cf73f84e39402d,different,295243,8c5845d3e168107039ebb54f097b26d2250c2d20ac0168833a52329fe6c72540,exact_current_official_content,assets/img/bg/1080/aegleseeker.jpg,unique_official_source,assets/img/bg/1080/observer_conflict.jpg,1,assets/img/bg/1080/observer_conflict.jpg
assets/img/bg/1080/aethercrest_clear.png,img/bg/1080/aethercrest_clear.png,5238,1ab63e4a6d669914cc984c7336189d3d194eff5db809fa0968d29633c4b1010f,different,874577,c55fc7fb762ae8e1e70e9e92e9a363bcb7e86ac0a5cf9b45c442f94ab92c7c6b,fully_transparent_placeholder,assets/img/bg/1080/aethercrest_clear.png,no_current_official_match,,0,
assets/img/bg/1080/alexandrite.jpg,img/bg/1080/alexandrite.jpg,372932,e639103922c29b25905399f887318ef079d06c0ca95d8cf0f9cf73f84e39402d,different,587366,582101f0359470303e6c479cbb6324dc11c10fa7193036ce1db2c1641686363d,exact_current_official_content,assets/img/bg/1080/aegleseeker.jpg,unique_official_source,assets/img/bg/1080/observer_conflict.jpg,1,assets/img/bg/1080/observer_conflict.jpg
assets/img/bg/1080/alice_conflict.jpg,img/bg/1080/alice_conflict.jpg,372932,e639103922c29b25905399f887318ef079d06c0ca95d8cf0f9cf73f84e39402d,different,321528,16315f2d57aae5ed4d3dfef7d55f5b725678426f75ad39e0294c031de00c4b04,exact_current_official_content,assets/img/bg/1080/aegleseeker.jpg,unique_official_source,assets/img/bg/1080/observer_conflict.jpg,1,assets/img/bg/1080/observer_conflict.jpg
assets/img/bg/1080/alice_conflict_clear.png,img/bg/1080/alice_conflict_clear.png,3057,8cbbde7dd4ca9d830f397fd03db957e16986f6671c00d03071225a930586f181,different,1040222,bc4cd7ed68e2f72f3ccb43b3bc37e72b9eb11f6e12a5a862e0c10316654ade7f,fully_transparent_placeholder,assets/img/bg/1080/aegleseeker_clear.png,no_current_official_match,,0,
assets/img/bg/1080/alice_conflict_diamond.png,img/bg/1080/alice_conflict_diamond.png,3057,8cbbde7dd4ca9d830f397fd03db957e16986f6671c00d03071225a930586f181,missing,,,fully_transparent_placeholder,assets/img/bg/1080/aegleseeker_clear.png,no_current_official_match,,0,
